,pertIndex,leiden,gene_id,Pathways
ENSG00000006625,ENSG00000006625,4,ENSG00000006625,CellCycle
ENSG00000006634,ENSG00000006634,4,ENSG00000006634,CellCycle
ENSG00000010292,ENSG00000010292,4,ENSG00000010292,CellCycle
ENSG00000011426,ENSG00000011426,4,ENSG00000011426,CellCycle
ENSG00000012048,ENSG00000012048,4,ENSG00000012048,CellCycle
ENSG00000013573,ENSG00000013573,4,ENSG00000013573,CellCycle
ENSG00000013810,ENSG00000013810,4,ENSG00000013810,CellCycle
ENSG00000014138,ENSG00000014138,4,ENSG00000014138,CellCycle
ENSG00000029993,ENSG00000029993,4,ENSG00000029993,CellCycle
ENSG00000040275,ENSG00000040275,4,ENSG00000040275,CellCycle
ENSG00000049541,ENSG00000049541,4,ENSG00000049541,CellCycle
ENSG00000065328,ENSG00000065328,4,ENSG00000065328,CellCycle
ENSG00000066279,ENSG00000066279,4,ENSG00000066279,CellCycle
ENSG00000068489,ENSG00000068489,4,ENSG00000068489,CellCycle
ENSG00000069275,ENSG00000069275,4,ENSG00000069275,CellCycle
ENSG00000072501,ENSG00000072501,4,ENSG00000072501,CellCycle
ENSG00000072571,ENSG00000072571,4,ENSG00000072571,CellCycle
ENSG00000073111,ENSG00000073111,4,ENSG00000073111,CellCycle
ENSG00000075218,ENSG00000075218,4,ENSG00000075218,CellCycle
ENSG00000076003,ENSG00000076003,4,ENSG00000076003,CellCycle
ENSG00000076382,ENSG00000076382,4,ENSG00000076382,CellCycle
ENSG00000077152,ENSG00000077152,4,ENSG00000077152,CellCycle
ENSG00000077514,ENSG00000077514,4,ENSG00000077514,CellCycle
ENSG00000079246,ENSG00000079246,4,ENSG00000079246,CellCycle
ENSG00000080824,ENSG00000080824,4,ENSG00000080824,CellCycle
ENSG00000080839,ENSG00000080839,4,ENSG00000080839,CellCycle
ENSG00000080986,ENSG00000080986,4,ENSG00000080986,CellCycle
ENSG00000087586,ENSG00000087586,4,ENSG00000087586,CellCycle
